accountSwitchKey;accountName;contractID
F-AC-1950648 ; SELAE ; M-1YOYAUG
F-AC-1121322 ; Grupo Pinero (Soltour) ; C-13RVI6F
1-6BXANX ; Real Madrid ; 3-13XAX47;3-13X4IHM;M-286EL6S;F-K1FQE3
15Q-32RI ; Defensor del Pueblo ; M-24HWAFN;M-1QPLNO3
AANA-53UJJD ; LEROY MERLIN ; C-14CU013;G-2W544CG
AANA-36BTDP ; Grupo Godo de Comunicacion, S.A. ; G-2Y72ZWY
149-13NV ; CONGRESO DE LOS DIPUTADOS ; C-R9IKQV;G-2MBETL0;3-23E7MJ
AANA-21NNWD ; Banco de Sabadell ; G-2FS9T88
F-AC-1213142 ; Mayoral Moda Infantil SA ; P-2KH4NVS
F-AC-2438205 ; Goldcar/Rhodium ; P-2LZY55P
AANA-97SUIN ; Prosegur Transportes De Valores Sa ; G-39DZZGK
1-5MFW1L ; DIRECCION GENERAL DE LA POLICIA ; P-37ZMWY6
15Q-3CRN ; Gerencia de Informatica de la Seguridad Social ; 1-M3P8T
F-AC-1256936 ; Roca Corporacion Empresarial, S.A. ; P-3MKOAU7
1-LHXEZ5 ; Aena ; C-4W2UX5
AANA-36BTBD ; Fabrica Nacional Moneda Y Timbre ; P-3GQEFY8
1-687OSD ; Comeresa Prensa S.L. ; F-BZVFXK;M-1XFE1BA
F-AC-2462601 ; Finsa ; P-2YO1LZT
149-2D3X ; ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A ; C-1IH8VUQ;G-2IY3OKG;C-1IH44VE;M-1WCIHZB;C-1IGLRMD
1-AB9G7 ; Telefonica Soluciones de Informatica y Comunicaciones de Espana, S.A. ; M-20IORH7;1-ADEJG
F-AC-1123152 ; Idiso ; C-1DTN5FD;3-1FBT0R0
AANA-9AJUVQ ; COMUNIDAD DE MADRID ; P-3TL8MD0;P-3TL8MVM
15Q-84D1 ; EUSKAL TELEBISTA S.A ; 4-FBOTJ
F-AC-1633646 ; BBVA ; P-3DQQ9UE
F-AC-2457570 ; TR US ; G-2FH48FS
F-AC-3096338 ; Salvesen Logística ; G-361KU24
AANA-9AJUW8 ; BANCO DE ESPANA ; P-2VZR93J
F-AC-2463282 ; Ministerio Transicion Ecologica ; G-2Y44K07
F-AC-738045 ; Desigual (ABASIC SLU) ; C-ZVDXWR
F-AC-4890923 ; TeleT&M ; G-3KFR3E9;P-3S191EF
F-AC-1695058 ; Sportium.es ; G-3IBXQEG
F-AC-257672 ; Securitas Direct ; F-3RPDH4
F-AC-1262826 ; BANCO CETELEM, S.A ; M-282VD34
F-AC-1649273 ; Parlamento de Galicia ; F-CEP36F
1-LHXF31 ; Generalitat  de Cataluna ; C-1AZ1RO3
1-35O9YA ; El Corte Ingles S.A. ; P-33L1EHF;P-33L1EFI;179-5QE0
1-12C1BT ; Renfe Operadora ; P-3AGAAPW;1-242IY5
15Q-3PUL ; DTS DISTRIBUIDORA DE TELEVISION DIGITAL, S.A.U. ; 3-NKJXPV;M-20JBZC4;1-10ZASW;G-30USUR2;M-2BQAHWZ
F-AC-691574 ; Bimba y Lola ; G-2BHLSB0
AANA-36BTID ; Mediapro ; C-1IHD927;C-XSCRJR
F-AC-2462084 ; M. Justicia ; P-2HXZGIP
1-1O5079 ; MINISTERIO DE TRABAJO Y AA.SS. ; G-2PUDHNW;G-2PUDHKW;G-2PUCBC6
15Q-4SJD ; PANDA SECURITY S.L. ; C-3HCL85;M-1X5MH97;3-52FQV9;1-11WDZP;4-983ID;C-3HC9CX;C-3HCFKT
AANA-7A3FES ; Agencia Espanola De Proteccion De Datos ; P-2LDX2W6;F-9DLIQJ
1-37WFPT ; Conecta 5 Telecinco, S.A.U ; F-L0USKF;C-TJ0SY2;C-TIZIGP;G-2LRKTL4;M-2294ZES
AANA-3POB72 ; Evento elecciones ; G-3JNPOLV
F-AC-1812478 ; Servicios Integrales Unitecnic S.L. ; 3-1FDINL0
1-LHXF09 ; Ayuntamiento de Madrid ; C-X87ZH1;C-1DVPDUX;C-1DVQEN1
F-AC-1883945 ; Gobierno de Cantabria ; P-37C6VXE
AANA-5ZJ1SY ; codere ; C-14DX20N
F-AC-175690 ; RED ELECTRICA DE ESPANA ; P-2JPHJTH
1-QIPRCR ; ULPGC - Universidad de Las Palmas de Gran Canaria ; P-3S9SI9L
AANA-2ZB9XB ; Senado de Espana ; P-2UUX611;P-2UUXROP
15Q-7E4L ; INDITEX ; C-3OD2OP;3-UK9XRR
F-AC-2495001 ; Quiron Prevencion, S.L.U. ; P-3JB0UNP
1-3P8UFV ; RURALMED S.L.U ; C-1AXOUAA
149-NM1 ; RTVE ; 3-1CPBX3L;F-LHZEJ5
1-2ET28L ; Agencia EFE ; 1-2ET28X
AANA-31L473 ; Iberostar Hoteles Y Apartamentos ; M-1IS7MVD
1-LHXF1N ; NH Hoteles ; C-6YGTPL;C-1K3BY9Y
AANA-7FKZCR ; Red.Es ; P-3SGPY96
AANA-WUDIL ; Ecoprensa S.A ; P-3N8N16W
1-2L5BXH ; Punto FA S.L. ; 1-2L5BXT
accountSwitchKey;accountName;contractID
